Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,0.0167,0.0161,0.0173,0.0228,0.0209,0.0196,0.0214,0.0226,0.0263,0.0256,0.0262,0.0268
2000,0.0274,0.0322,0.0376,0.0307,0.0319,0.0373,0.0366,0.0341,0.0345,0.0345,0.0345,0.0339
2001,0.0373,0.0353,0.0292,0.0327,0.0362,0.0325,0.0272,0.0272,0.0265,0.0213,0.0190,0.0155
2002,0.0114,0.0114,0.0148,0.0164,0.0118,0.0107,0.0146,0.0180,0.0151,0.0203,0.0220,0.0238
2003,0.0260,0.0298,0.0302,0.0222,0.0206,0.0211,0.0211,0.0216,0.0232,0.0204,0.0177,0.0188
2004,0.0193,0.0169,0.0174,0.0229,0.0305,0.0327,0.0299,0.0265,0.0254,0.0319,0.0352,0.0326
2005,0.0297,0.0301,0.0315,0.0351,0.0280,0.0253,0.0317,0.0364,0.0469,0.0435,0.0346,0.0342
2006,0.0399,0.0360,0.0336,0.0355,0.0417,0.0432,0.0415,0.0382,0.0206,0.0131,0.0197,0.0254
2007,0.0208,0.0242,0.0278,0.0257,0.0269,0.0269,0.0236,0.0197,0.0276,0.0354,0.0431,0.0408
2008,0.0428,0.0403,0.0398,0.0394,0.0418,0.0502,0.0560,0.0537,0.0494,0.0366,0.0107,0.0009
2009,0.0003,0.0024,-0.0038,-0.0074,-0.0128,-0.0143,-0.0210,-0.0148,-0.0129,-0.0018,0.0184,0.0272
2010,0.0263,0.0214,0.0231,0.0224,0.0202,0.0105,0.0124,0.0115,0.0114,0.0117,0.0114,0.0150
2011,0.0163,0.0211,0.0268,0.0316,0.0357,0.0356,0.0363,0.0377,0.0387,0.0353,0.0339,0.0296
2012,0.0293,0.0287,0.0265,0.0230,0.0170,0.0166,0.0141,0.0169,0.0199,0.0216,0.0176,0.0174
2013,0.0159,0.0198,0.0147,0.0106,0.0136,0.0175,0.0196,0.0152,0.0118,0.0096,0.0124,0.0150
2014,0.0158,0.0113,0.0151,0.0195,0.0213,0.0207,0.0199,0.0170,0.0166,0.0166,0.0132,0.0076
2015,-0.0009,-0.0003,-0.0007,-0.0020,-0.0004,0.0012,0.0017,0.0020,-0.0004,0.0017,0.0050,0.0073
2016,0.0137,0.0102,0.0085,0.0113,0.0102,0.0100,0.0083,0.0106,0.0146,0.0164,0.0169,0.0207
2017,0.0250,0.0274,0.0238,0.0220,0.0187,0.0163,0.0173,0.0194,0.0223,0.0204,0.0220,0.0211
2018,0.0207,0.0221,0.0236,0.0246,0.0280,0.0287,0.0295,0.0270,0.0228,0.0252,0.0218,0.0191
2019,0.0155,0.0152,0.0186,0.0200,0.0179,0.0165,0.0181,0.0175,0.0171,0.0176,0.0205,0.0229
2020,0.0249,0.0233,0.0154,0.0033,0.0012,0.0065,0.0099,0.0131,0.0137,0.0118,0.0117,0.0136
2021,0.0140,0.0168,0.0262,0.0416,0.0499,0.0539,0.0537,0.0525,0.0539,0.0622,0.0681,0.0704
2022,0.0748,0.0787,0.0854,0.0826,0.0858,0.0906,0.0852,0.0826,0.0820,0.0775,0.0711,0.0645
2023,0.0641,0.0604,0.0499,0.0493,0.0405,0.0297,0.0318,0.0367,0.0370,0.0324,0.0314,0.0335
