mineral_category,mineral
Industrial,Aluminum
Other,Antimony
Other,Arsenic
Strategic Metals,Beryllium
Other,Bismuth
Industrial,Chromium
Strategic Metals,Cobalt
Industrial,Fluorspar
Other,Gallium
Industrial,Graphite
Other,Indium
Industrial,Magnesium
Industrial,Manganese
Industrial,Nickel
Strategic Metals,Niobium
Strategic Metals,Palladium
Strategic Metals,Platinum
Rare Earths,Rare earths
Strategic Metals,Tantalum
Industrial,Tin
Strategic Metals,Titanium
Strategic Metals,Vanadium
Other,Yttrium
Industrial,Zinc
Strategic Metals,Zirconium
