role,state,average
Data Scientist,New York,136172
Data Scientist,Vermont,133828
Data Scientist,California,131441
Data Scientist,Maine,127644
Data Scientist,Idaho,126275
Data Scientist,Washington,125289
Data Scientist,Pennsylvania,124713
Data Scientist,Massachusetts,123188
Data Scientist,Alaska,122407
Data Scientist,New Jersey,121955
Data Scientist,New Hampshire,121666
Data Scientist,Oregon,121011
Data Scientist,North Dakota,120890
Data Scientist,Wisconsin,120117
Data Scientist,Wyoming,119040
Data Scientist,Hawaii,118595
Data Scientist,Colorado,117956
Data Scientist,Indiana,116954
Data Scientist,Nevada,115741
Data Scientist,New Mexico,115421
Data Scientist,Minnesota,115258
Data Scientist,Arizona,114536
Data Scientist,South Dakota,114254
Data Scientist,Montana,112811
Data Scientist,Ohio,112255
Data Scientist,Rhode Island,112085
Data Scientist,Delaware,111877
Data Scientist,Alabama,111402
Data Scientist,Virginia,110662
Data Scientist,Connecticut,109897
Data Scientist,Iowa,109690
Data Scientist,Illinois,108858
Data Scientist,Mississippi,108712
Data Scientist,Maryland,108449
Data Scientist,Tennessee,107174
Data Scientist,Utah,106899
Data Scientist,Nebraska,106424
Data Scientist,Missouri,105000
Data Scientist,South Carolina,103937
Data Scientist,Georgia,103779
Data Scientist,Oklahoma,103063
Data Scientist,Texas,102927
Data Scientist,Kansas,102344
Data Scientist,North Carolina,101792
Data Scientist,Louisiana,100631
Data Scientist,Kentucky,97776
Data Scientist,Michigan,97737
Data Scientist,West Virginia,96317
Data Scientist,Arkansas,92891
Data Scientist,Florida,91843
Data Engineer (Azure),Alaska,151589
Data Engineer (Azure),Massachusetts,149437
Data Engineer (Azure),Washington,143791
Data Engineer (Azure),Nevada,143328
Data Engineer (Azure),Colorado,140921
Data Engineer (Azure),New York,132877
Data Engineer (Azure),Delaware,132332
Data Engineer (Azure),Illinois,130571
Data Engineer (Azure),Virginia,130360
Data Engineer (Azure),Vermont,129813
Data Engineer (Azure),Maryland,128144
Data Engineer (Azure),Nebraska,125368
Data Engineer (Azure),Missouri,124699
Data Engineer (Azure),California,123771
Data Engineer (Azure),South Carolina,123646
Data Engineer (Azure),Oregon,123608
Data Engineer (Azure),North Dakota,123605
Data Engineer (Azure),Pennsylvania,121724
Data Engineer (Azure),Oklahoma,121410
Data Engineer (Azure),Hawaii,121321
Data Engineer (Azure),New Jersey,121305
Data Engineer (Azure),North Carolina,121093
Data Engineer (Azure),Maine,120832
Data Engineer (Azure),Wisconsin,120089
Data Engineer (Azure),Idaho,118437
Data Engineer (Azure),New Hampshire,118398
Data Engineer (Azure),Kentucky,117973
Data Engineer (Azure),Texas,117673
Data Engineer (Azure),South Dakota,116820
Data Engineer (Azure),Michigan,116649
Data Engineer (Azure),Wyoming,116473
Data Engineer (Azure),Minnesota,115939
Data Engineer (Azure),New Mexico,115341
Data Engineer (Azure),Indiana,114899
Data Engineer (Azure),Rhode Island,114492
Data Engineer (Azure),Ohio,112710
Data Engineer (Azure),Arizona,112524
Data Engineer (Azure),Connecticut,111678
Data Engineer (Azure),Arkansas,111416
Data Engineer (Azure),Mississippi,110866
Data Engineer (Azure),Montana,110829
Data Engineer (Azure),Iowa,110803
Data Engineer (Azure),Alabama,109444
Data Engineer (Azure),Utah,107660
Data Engineer (Azure),Tennessee,107606
Data Engineer (Azure),Kansas,104388
Data Engineer (Azure),Georgia,101956
Data Engineer (Azure),Louisiana,101225
Data Engineer (Azure),West Virginia,94008
Data Engineer (Azure),Florida,90232
Data Analyst,New York,98166
Data Analyst,Pennsylvania,89890
Data Analyst,New Hampshire,87898
Data Analyst,New Jersey,86566
Data Analyst,Wyoming,85631
Data Analyst,Washington,85515
Data Analyst,Wisconsin,84902
Data Analyst,Massachusetts,84899
Data Analyst,Alaska,84677
Data Analyst,Oregon,83991
Data Analyst,Indiana,83857
Data Analyst,North Dakota,83837
