year,fscale,casualties,tornados
1999,EF0,30,888
1999,EF1,164,381
1999,EF2,333,164
1999,EF3,304,69
1999,EF4,750,16
1999,EF5,355,2
2000,EF0,8,763
2000,EF1,84,293
2000,EF2,148,83
2000,EF3,411,27
2000,EF4,272,3
2001,EF0,26,866
2001,EF1,132,324
2001,EF2,288,122
2001,EF3,211,31
2001,EF4,126,8
2002,EF0,5,663
2002,EF1,78,243
2002,EF2,358,90
2002,EF3,424,38
2002,EF4,158,6
2003,EF0,10,957
2003,EF1,106,409
2003,EF2,217,117
2003,EF3,503,39
2003,EF4,305,13
2004,EF0,6,1271
2004,EF1,109,520
2004,EF2,205,120
2004,EF3,67,28
2004,EF4,44,8
2005,EF0,1,845
2005,EF1,56,379
2005,EF2,88,94
2005,EF3,390,24
2005,EF4,40,1
2006,EF0,24,758
2006,EF1,109,344
2006,EF2,243,118
2006,EF3,672,41
2006,EF4,5,2
2007,EF0,16,724
2007,EF1,99,354
2007,EF2,220,121
2007,EF3,216,38
2007,EF4,81,4
2007,EF5,74,1
2008,EF0,21,1072
2008,EF1,159,598
2008,EF2,314,204
2008,EF3,743,68
2008,EF4,568,11
2008,EF5,59,1
2009,EF0,11,742
2009,EF1,95,403
2009,EF2,61,101
2009,EF3,151,25
2009,EF4,114,2
2010,EF0,9,821
2010,EF1,55,417
2010,EF2,187,148
2010,EF3,246,46
2010,EF4,257,17
2011,EF0,20,884
2011,EF1,117,780
2011,EF2,535,270
2011,EF3,1494,97
2011,EF4,2371,32
2011,EF5,1676,11
2012,EF0,20,608
2012,EF1,65,280
2012,EF2,297,124
2012,EF3,396,38
2012,EF4,139,8
2013,EF0,10,544
2013,EF1,70,366
2013,EF2,80,107
2013,EF3,197,26
2013,EF4,224,9
2013,EF5,231,1
2014,EF0,16,565
2014,EF1,58,375
2014,EF2,120,88
2014,EF3,209,28
2014,EF4,294,8
2015,EF0,19,742
2015,EF1,48,466
2015,EF2,209,80
2015,EF3,162,24
2015,EF4,523,8
2016,EF0,12,571
2016,EF1,39,357
2016,EF2,192,92
2016,EF3,95,27
2016,EF4,6,2
2016,EFU,0,32
2017,EF0,13,711
2017,EF1,64,684
2017,EF2,141,167
2017,EF3,304,20
2017,EF4,35,2
2017,EFU,0,67
2018,EF0,6,681
2018,EF1,35,446
2018,EF2,95,97
2018,EF3,83,12
2018,EFU,0,18
2019,EF0,8,732
2019,EF1,50,617
2019,EF2,102,138
2019,EF3,150,45
2019,EF4,280,3
2019,EFU,0,199
2020,EF0,8,520
2020,EF1,48,476
2020,EF2,121,106
2020,EF3,361,22
2020,EF4,280,10
2020,EFU,0,117
2021,EF0,7,631
2021,EF1,47,518
2021,EF2,85,132
2021,EF3,269,33
2021,EF4,580,9
2021,EFU,0,222
2022,EF0,9,487
2022,EF1,27,547
2022,EF2,131,151
2022,EF3,127,22
2022,EF4,47,5
2022,EFU,0,171
2023,EF0,9,515
2023,EF1,94,524
2023,EF2,192,168
2023,EF3,584,43
2023,EF4,167,2
2023,EFU,0,271
