Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,0.0430,0.0440,0.0420,0.0430,0.0420,0.0430,0.0430,0.0420,0.0420,0.0410,0.0410,0.0400
2000,0.0400,0.0410,0.0400,0.0380,0.0400,0.0400,0.0400,0.0410,0.0390,0.0390,0.0390,0.0390
2001,0.0420,0.0420,0.0430,0.0440,0.0430,0.0450,0.0460,0.0490,0.0500,0.0530,0.0550,0.0570
2002,0.0570,0.0570,0.0570,0.0590,0.0580,0.0580,0.0580,0.0570,0.0570,0.0570,0.0590,0.0600
2003,0.0580,0.0590,0.0590,0.0600,0.0610,0.0630,0.0620,0.0610,0.0610,0.0600,0.0580,0.0570
2004,0.0570,0.0560,0.0580,0.0560,0.0560,0.0560,0.0550,0.0540,0.0540,0.0550,0.0540,0.0540
2005,0.0530,0.0540,0.0520,0.0520,0.0510,0.0500,0.0500,0.0490,0.0500,0.0500,0.0500,0.0490
2006,0.0470,0.0480,0.0470,0.0470,0.0460,0.0460,0.0470,0.0470,0.0450,0.0440,0.0450,0.0440
2007,0.0460,0.0450,0.0440,0.0450,0.0440,0.0460,0.0470,0.0460,0.0470,0.0470,0.0470,0.0500
2008,0.0500,0.0490,0.0510,0.0500,0.0540,0.0560,0.0580,0.0610,0.0610,0.0650,0.0680,0.0730
2009,0.0780,0.0830,0.0870,0.0900,0.0940,0.0950,0.0950,0.0960,0.0980,0.1000,0.0990,0.0990
2010,0.0980,0.0980,0.0990,0.0990,0.0960,0.0940,0.0940,0.0950,0.0950,0.0940,0.0980,0.0930
2011,0.0910,0.0900,0.0900,0.0910,0.0900,0.0910,0.0900,0.0900,0.0900,0.0880,0.0860,0.0850
2012,0.0830,0.0830,0.0820,0.0820,0.0820,0.0820,0.0820,0.0810,0.0780,0.0780,0.0770,0.0790
2013,0.0800,0.0770,0.0750,0.0760,0.0750,0.0750,0.0730,0.0720,0.0720,0.0720,0.0690,0.0670
2014,0.0660,0.0670,0.0670,0.0620,0.0630,0.0610,0.0620,0.0610,0.0590,0.0570,0.0580,0.0560
2015,0.0570,0.0550,0.0540,0.0540,0.0560,0.0530,0.0520,0.0510,0.0500,0.0500,0.0510,0.0500
2016,0.0480,0.0490,0.0500,0.0510,0.0480,0.0490,0.0480,0.0490,0.0500,0.0490,0.0470,0.0470
2017,0.0470,0.0460,0.0440,0.0440,0.0440,0.0430,0.0430,0.0440,0.0430,0.0420,0.0420,0.0410
2018,0.0400,0.0410,0.0400,0.0400,0.0380,0.0400,0.0380,0.0380,0.0370,0.0380,0.0380,0.0390
2019,0.0400,0.0380,0.0380,0.0370,0.0360,0.0360,0.0370,0.0360,0.0350,0.0360,0.0360,0.0360
2020,0.0360,0.0350,0.0440,0.1480,0.1320,0.1100,0.1020,0.0840,0.0780,0.0680,0.0670,0.0670
2021,0.0640,0.0620,0.0610,0.0610,0.0580,0.0590,0.0540,0.0510,0.0470,0.0450,0.0410,0.0390
2022,0.0400,0.0380,0.0360,0.0370,0.0360,0.0360,0.0350,0.0360,0.0350,0.0360,0.0360,0.0350
2023,0.0340,0.0360,0.0350,0.0340,0.0370,0.0360,0.0350,0.0380,0.0380,0.0380,0.0370,0.0370
